main_category,main_link,sub_category,sub_category_id,sub_category_link
Health & Medical,https://example.com/c/health_medical,Diagnostics & Testing,diagnostics_testing,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/diagnostics_testing.json
Health & Medical,https://example.com/c/health_medical,Doctors & Surgeons,doctors_surgeons,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/doctors_surgeons.json
Health & Medical,https://example.com/c/health_medical,Health Equipment,health_equipment,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/health_equipment.json
Health & Medical,https://example.com/c/health_medical,Hospital & Emergency,hospital_emergency,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/hospital_emergency.json
Health & Medical,https://example.com/c/health_medical,Medical Specialists,medical_specialists,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/medical_specialists.json
Health & Medical,https://example.com/c/health_medical,Mental Health,mental_health,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/mental_health.json
Health & Medical,https://example.com/c/health_medical,Pharmacy & Medicine,pharmacy_medicine,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/pharmacy_medicine.json
Health & Medical,https://example.com/c/health_medical,Physical Aids,physical_aids,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/physical_aids.json
Health & Medical,https://example.com/c/health_medical,Pregnancy & Children,pregnancy_children,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/pregnancy_children.json
Health & Medical,https://example.com/c/health_medical,Therapy & Senior Health,therapy_senior_health,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/therapy_senior_health.json
Health & Medical,https://example.com/c/health_medical,Vision & Hearing,vision_hearing,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/vision_hearing.json
Hobbies & Crafts,https://example.com/c/hobbies_crafts,Art & Handicraft,art_handicraft,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/art_handicraft.json
Hobbies & Crafts,https://example.com/c/hobbies_crafts,Astrology & Numerology,astrology_numerology,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/astrology_numerology.json
Hobbies & Crafts,https://example.com/c/hobbies_crafts,Fishing & Hunting,fishing_hunting,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/fishing_hunting.json
