main_category,main_link
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Sports,https://example.com/c/sports
Travel & Vacation,https://example.com/c/travel_vacation
Travel & Vacation,https://example.com/c/travel_vacation
Travel & Vacation,https://example.com/c/travel_vacation
Travel & Vacation,https://example.com/c/travel_vacation
Travel & Vacation,https://example.com/c/travel_vacation
Travel & Vacation,https://example.com/c/travel_vacation
Utilities,https://example.com/c/utilities
Utilities,https://example.com/c/utilities
Utilities,https://example.com/c/utilities
Utilities,https://example.com/c/utilities
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
Vehicles & Transportation,https://example.com/c/vehicles_transportation
